brand,model,year,mileage,transmission,location,fuel_type,price,grade
Toyota,FORTUNER VRZ 2.4,2021,124282,Automatic,Palembang,Diesel,335000000,C
Daihatsu,XENIA X 1.3,2018,105417,Manual,Gorontalo,Bensin,100000000,C
Nissan,SERENA HIGWAY STAR 2.0,2013,50781,Automatic,Medan,Bensin,95000000,C
Daihatsu,XENIA R 1.3,2017,305847,Manual,Gedangan,Bensin,100000000,C
Daihatsu,GRAN MAX MINIBUS 1.3,2010,248512,Manual,Medan,Bensin,47000000,C
Toyota,INNOVA G 2.4,2021,157987,Manual,Palembang,Diesel,250000000,C
Honda,BRIO SATYA E 1.2,2017,111846,Automatic,Jakarta Raya,Bensin,85000000,C
Daihatsu,SIGRA D 1.0,2021,94294,Manual,Palembang,Bensin,70000000,C
Mitsubishi,COLT DIESEL FE 73,2020,262185,Manual,Balikpapan,Diesel,264000000,C
Nissan,SERENA HIGWAY STAR 2.0,2016,128682,Automatic,Jakarta Raya,Bensin,130000000,C
Suzuki,ERTIGA GL 1.4,2016,75071,Manual,Medan,Bensin,87000000,C
Honda,JAZZ RS 1.5,2019,117748,Automatic,Pangkal_Pinang,Bensin,164000000,C
Toyota,CALYA G 1.2,2017,93210,Manual,Medan,Bensin,77000000,C
Honda,BRIO SATYA E 1.2,2015,124736,Manual,Jakarta Raya,Bensin,94000000,C
Toyota,HILUX DC G 2.4,2023,151668,Manual,Balikpapan,Diesel,310000000,C
Honda,BRIO E 1.2,2015,77636,Automatic,Pangkal_Pinang,Bensin,85000000,C
Toyota,AVANZA G 1.3,2019,133230,Automatic,Jakarta Raya,Bensin,142000000,C
Honda,CR-V 2.0,2012,141860,Automatic,Jakarta - Tipar,Bensin,61500000,C
Toyota,VELLFIRE Z 2.4,2014,120400,Automatic,Pekanbaru,Bensin,175000000,C
Toyota,HILUX DC G 2.4,2023,67393,Manual,Balikpapan,Diesel,315000000,C
Mitsubishi,TRITON DC GLS 4X4 2.4,2021,118690,Manual,Balikpapan,Diesel,195000000,C
Hino,FL 235 JW 7.7,2018,320431,Manual,Gedangan,Diesel,650000000,C
Honda,ODYSSEY 2.4,2019,172831,Automatic,Jakarta - Tipar,Bensin,170000000,C
Hyundai,SANTA FE XG 2.4,2020,156093,Automatic,Jakarta Raya,Bensin,270000000,C
Toyota,INNOVA G 2.0,2022,65034,Manual,Balikpapan,Bensin,253000000,C
Hyundai,SANTA FE PRIME 2.5,2022,146105,Automatic,Jakarta Raya,Bensin,300000000,C
